question,sql_query,
How to update emp_no?,SELECT emp_no FROM dept_emp;,
Define the dept_no field.,SELECT dept_no FROM dept_emp;,
How to find emp_no?,SELECT emp_no FROM dept_manager;,
Explain the meaning of from_date.,SELECT from_date FROM salary;,
Where can I see the emp_no?,SELECT emp_no FROM employee;,
Can I filter records by to_date?,SELECT to_date FROM dept_emp;,
Describe the purpose of login_id.,SELECT login_id FROM employee_login;,
Is to_date unique for each record?,SELECT to_date FROM salary;,
What happens if to_date is missing?,SELECT to_date FROM dept_manager;,
Can you tell me the emp_no?,SELECT emp_no FROM dept_manager;,
Give me the dept_no of an employee.,SELECT dept_no FROM dept_manager;,
Where can I see the to_date?,SELECT to_date FROM dept_emp;,
Where is birth_date mostly used?,SELECT birth_date FROM employee;,
How to join using hire_date?,SELECT hire_date FROM employee;,
Which employee has the hire_date?,SELECT hire_date FROM employee;,
How to find dept_no?,SELECT dept_no FROM department;,
How is hire_date used in the employee table?,SELECT hire_date FROM employee;,
Define the last_name field.,SELECT last_name FROM employee;,
Where is last_login mostly used?,SELECT last_login FROM employee_login;,
Where is username mostly used?,SELECT username FROM employee_login;,
Which employee has the last_login?,SELECT last_login FROM employee_login;,
Who updates the password?,SELECT password FROM employee_login;,
Explain the title column in title.,SELECT title FROM title;,
What happens if hire_date is missing?,SELECT hire_date FROM employee;,
Describe the purpose of emp_no.,SELECT emp_no FROM dept_manager;,
List all entries for emp_no.,SELECT emp_no FROM manager_department_access;,
Where is emp_no mostly used?,SELECT emp_no FROM employee_login;,
Can you tell me the username?,SELECT username FROM employee_login;,
Give me the to_date of an employee.,SELECT to_date FROM salary;,
Where can I see the login_id?,SELECT login_id FROM employee_login;,
List all entries for dept_no.,SELECT dept_no FROM dept_manager;,
What is the data type of password in employee_login?,SELECT password FROM employee_login;,
What is the data type of emp_no in dept_manager?,SELECT emp_no FROM dept_manager;,
How to find title?,SELECT title FROM title;,
Define the dept_name field.,SELECT dept_name FROM department;,
Who updates the dept_no?,SELECT dept_no FROM dept_manager;,
List all to_date values.,SELECT to_date FROM dept_emp;,
What is the data type of to_date in dept_manager?,SELECT to_date FROM dept_manager;,
List all emp_no values.,SELECT emp_no FROM manager_department_access;,
How to join using gender?,SELECT gender FROM employee;,
Give me the password of an employee.,SELECT password FROM employee_login;,
What is the dept_no?,SELECT dept_no FROM dept_emp;,
Who updates the from_date?,SELECT from_date FROM salary;,
What is the data type of emp_no in employee?,SELECT emp_no FROM employee;,
Explain the meaning of from_date.,SELECT from_date FROM dept_manager;,
Which employees have never logged in?,"SELECT e.first_name, e.last_name FROM employee e LEFT JOIN employee_login l ON e.emp_no = l.emp_no WHERE l.emp_no IS NULL;",
List usernames of employees who logged in today.,SELECT username FROM employee_login WHERE DATE(last_login) = CURRENT_DATE;,
How many employees have login access?,SELECT COUNT(DISTINCT emp_no) FROM employee_login;,
Which departments have employees with no login?,SELECT DISTINCT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no LEFT JOIN employee_login l ON de.emp_no = l.emp_no WHERE l.emp_no IS NULL;,
List employees who have been promoted (more than one title).,SELECT emp_no FROM title GROUP BY emp_no HAVING COUNT(*) > 1;,
What are the usernames of employees who were hired in 2023?,SELECT l.username FROM employee e JOIN employee_login l ON e.emp_no = l.emp_no WHERE EXTRACT(YEAR FROM e.hire_date) = 2023;,
Which managers have login credentials?,SELECT DISTINCT l.username FROM employee_login l JOIN dept_manager dm ON l.emp_no = dm.emp_no;,
Find employees who have access to more than one department.,SELECT emp_no FROM manager_department_access GROUP BY emp_no HAVING COUNT(dept_no) > 1;,
Which employee last logged in most recently?,SELECT username FROM employee_login ORDER BY last_login DESC LIMIT 1;,
List all department names and the number of employees with access granted.,"SELECT d.dept_name, COUNT(m.emp_no) FROM department d JOIN manager_department_access m ON d.dept_no = m.dept_no GROUP BY d.dept_name;",
Show departments accessed by employee 1005.,SELECT dept_no FROM manager_department_access WHERE emp_no = 1005;,
Which departments were accessed today?,SELECT DISTINCT dept_no FROM manager_department_access WHERE access_granted_date = CURRENT_DATE;,
How many departments have more than 5 employees?,SELECT COUNT(*) FROM (SELECT dept_no FROM dept_emp GROUP BY dept_no HAVING COUNT(emp_no) > 5) AS sub;,
Get login details of employees who haven’t logged in in last 30 days.,SELECT username FROM employee_login WHERE last_login < CURRENT_DATE - INTERVAL '30 days';,
List employees with current titles and department access.,SELECT DISTINCT t.emp_no FROM title t JOIN manager_department_access m ON t.emp_no = m.emp_no WHERE t.to_date >= CURRENT_DATE;,
Show all employees who are both a manager and have login access.,"SELECT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no JOIN employee_login l ON e.emp_no = l.emp_no;",
List employees whose birthday is in June.,"SELECT first_name, last_name FROM employee WHERE EXTRACT(MONTH FROM birth_date) = 6;",
How many employees joined each year?,"SELECT EXTRACT(YEAR FROM hire_date) AS year, COUNT(*) FROM employee GROUP BY year ORDER BY year;",
Find employees who joined the same day they got login access.,"SELECT e.first_name, e.last_name FROM employee e JOIN employee_login l ON e.emp_no = l.emp_no WHERE DATE(e.hire_date) = DATE(l.created_at);",
List departments where all employees have login accounts.,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no LEFT JOIN employee_login l ON de.emp_no = l.emp_no GROUP BY d.dept_name HAVING COUNT(de.emp_no) = COUNT(l.emp_no);,
Show all managers who have never been granted department access.,"SELECT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no WHERE e.emp_no NOT IN (SELECT emp_no FROM manager_department_access);",
Which employees have worked in more than 2 departments?,SELECT emp_no FROM dept_emp GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) > 2;,
Find employees who are still working in departments (to_date is future).,SELECT emp_no FROM dept_emp WHERE to_date > CURRENT_DATE;,
List employees with overlapping salary periods.,SELECT emp_no FROM salary s1 JOIN salary s2 ON s1.emp_no = s2.emp_no AND s1.from_date < s2.to_date AND s2.from_date < s1.to_date AND s1.from_date != s2.from_date;,
Find departments with more than one manager over time.,SELECT dept_no FROM dept_manager GROUP BY dept_no HAVING COUNT(DISTINCT emp_no) > 1;,
How many logins were created in 2024?,SELECT COUNT(*) FROM employee_login WHERE EXTRACT(YEAR FROM created_at) = 2024;,
List employees who have no title record.,"SELECT e.first_name, e.last_name FROM employee e LEFT JOIN title t ON e.emp_no = t.emp_no WHERE t.emp_no IS NULL;",
Which employees are working in both 'IT' and 'Finance' departments?,"SELECT emp_no FROM dept_emp WHERE dept_no IN (SELECT dept_no FROM department WHERE dept_name IN ('IT', 'Finance')) GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) = 2;",
List employees who had salary changed in 2023.,SELECT DISTINCT emp_no FROM salary WHERE EXTRACT(YEAR FROM from_date) = 2023;,
Which departments were managed in 2022?,SELECT DISTINCT dept_no FROM dept_manager WHERE from_date <= '2022-12-31' AND to_date >= '2022-01-01';,
Show login usernames of employees who are currently in any department.,SELECT l.username FROM employee_login l JOIN dept_emp d ON l.emp_no = d.emp_no WHERE d.to_date >= CURRENT_DATE;,
Get number of employees with the same last name.,"SELECT last_name, COUNT(*) FROM employee GROUP BY last_name HAVING COUNT(*) > 1;",
List employees who were managers and also accessed department on same date.,SELECT DISTINCT dm.emp_no FROM dept_manager dm JOIN manager_department_access mda ON dm.emp_no = mda.emp_no AND dm.from_date = mda.access_granted_date;,
Which departments had salary updates for employees in 2023?,SELECT DISTINCT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN salary s ON de.emp_no = s.emp_no WHERE EXTRACT(YEAR FROM s.from_date) = 2023;,
Find employees with most frequent title changes.,SELECT emp_no FROM title GROUP BY emp_no ORDER BY COUNT(*) DESC LIMIT 5;,
How many employees were added every quarter in 2022?,"SELECT EXTRACT(QUARTER FROM hire_date) AS quarter, COUNT(*) FROM employee WHERE EXTRACT(YEAR FROM hire_date) = 2022 GROUP BY quarter;",
List departments where no one has login access.,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no LEFT JOIN employee_login l ON de.emp_no = l.emp_no GROUP BY d.dept_name HAVING COUNT(l.emp_no) = 0;,
Find average salary per department.,"SELECT d.dept_name, AVG(s.amount) FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN salary s ON de.emp_no = s.emp_no GROUP BY d.dept_name;",
Which employees changed their department in 2022?,SELECT emp_no FROM dept_emp WHERE EXTRACT(YEAR FROM from_date) = 2022;,
List top 3 departments with longest-serving managers.,SELECT dept_no FROM dept_manager ORDER BY (to_date - from_date) DESC LIMIT 3;,
Who are the newest hires in each department?,"SELECT dept_no, emp_no FROM (SELECT dept_no, emp_no, ROW_NUMBER() OVER (PARTITION BY dept_no ORDER BY hire_date DESC) AS rn FROM dept_emp JOIN employee USING (emp_no)) t WHERE rn = 1;",
Find how many employees got more than one salary in a year.,SELECT emp_no FROM salary WHERE EXTRACT(YEAR FROM from_date) = EXTRACT(YEAR FROM to_date) GROUP BY emp_no HAVING COUNT(*) > 1;,
List all usernames and their associated employee's title.,"SELECT l.username, t.title FROM employee_login l JOIN title t ON l.emp_no = t.emp_no WHERE t.to_date >= CURRENT_DATE;",
Who got promoted from 'Junior Engineer' to 'Senior Engineer'?,"SELECT emp_no FROM title WHERE title IN ('Junior Engineer', 'Senior Engineer') GROUP BY emp_no HAVING COUNT(DISTINCT title) = 2;",
Which department has the youngest average age of employees?,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN employee e ON de.emp_no = e.emp_no GROUP BY d.dept_name ORDER BY AVG(AGE(e.birth_date)) ASC LIMIT 1;,
List employees who joined as manager from day 1 of employment.,SELECT e.emp_no FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no WHERE e.hire_date = dm.from_date;,
Which employees never got promoted (held only one title)?,SELECT emp_no FROM title GROUP BY emp_no HAVING COUNT(*) = 1;,
Show department managers who manage departments they don't have access to.,"SELECT emp_no FROM dept_manager WHERE (emp_no, dept_no) NOT IN (SELECT emp_no, dept_no FROM manager_department_access);",
What is the full name of employee ID 1001?,SELECT first_name || ' ' || last_name AS full_name FROM employee WHERE emp_no = 1001;,
Who are the employees hired in 2020?,"SELECT first_name, last_name FROM employee WHERE EXTRACT(YEAR FROM hire_date) = 2020;",
Show all female employees hired before 2015.,"SELECT first_name, last_name FROM employee WHERE gender = 'F' AND hire_date < '2015-01-01';",
List employees born after 1990.,"SELECT first_name, last_name FROM employee WHERE birth_date > '1990-01-01';",
Get names of employees with last name 'Singh'.,SELECT first_name FROM employee WHERE last_name = 'Singh';,
Find the gender distribution of employees.,"SELECT gender, COUNT(*) FROM employee GROUP BY gender;",
Which employees were hired between 2010 and 2020?,"SELECT first_name, last_name FROM employee WHERE hire_date BETWEEN '2010-01-01' AND '2020-12-31';",
How many employees are there in total?,SELECT COUNT(*) FROM employee;,
List employees sorted by hire date.,"SELECT first_name, last_name, hire_date FROM employee ORDER BY hire_date;",
Find employees whose first name starts with 'A'.,"SELECT first_name, last_name FROM employee WHERE first_name LIKE 'A%';",
List all departments.,SELECT dept_name FROM department;,
Which department has the most employees?,SELECT dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no GROUP BY dept_name ORDER BY COUNT(*) DESC LIMIT 1;,
Who are the managers of the IT department?,"SELECT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no JOIN department d ON dm.dept_no = d.dept_no WHERE d.dept_name = 'IT';",
What is the total number of managers?,SELECT COUNT(DISTINCT emp_no) FROM dept_manager;,
Show departments without a manager.,SELECT dept_name FROM department WHERE dept_no NOT IN (SELECT dept_no FROM dept_manager);,
Which departments have exactly 3 employees?,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no GROUP BY d.dept_name HAVING COUNT(de.emp_no) = 3;,
List all department names and their manager names.,"SELECT d.dept_name, e.first_name || ' ' || e.last_name AS manager_name FROM department d JOIN dept_manager dm ON d.dept_no = dm.dept_no JOIN employee e ON dm.emp_no = e.emp_no;",
Find the department with the oldest manager.,SELECT d.dept_name FROM department d JOIN dept_manager dm ON d.dept_no = dm.dept_no JOIN employee e ON dm.emp_no = e.emp_no ORDER BY birth_date ASC LIMIT 1;,
Which managers manage more than one department?,SELECT emp_no FROM dept_manager GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) > 1;,
List all employees who were ever department managers.,"SELECT DISTINCT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no;",
Show the current salary of employee 1023.,SELECT amount FROM salary WHERE emp_no = 1023 ORDER BY to_date DESC LIMIT 1;,
"List employees with salary above 1,00,000.","SELECT e.first_name, e.last_name FROM employee e JOIN salary s ON e.emp_no = s.emp_no WHERE s.amount > 100000;",
What is the average salary in the company?,SELECT AVG(amount) FROM salary;,
Find the highest salary paid.,SELECT MAX(amount) FROM salary;,
Who is the highest paid employee?,"SELECT e.first_name, e.last_name FROM employee e JOIN salary s ON e.emp_no = s.emp_no ORDER BY s.amount DESC LIMIT 1;",
Which department pays the lowest average salary?,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN salary s ON de.emp_no = s.emp_no GROUP BY d.dept_name ORDER BY AVG(s.amount) ASC LIMIT 1;,
Show salary history of employee 1005.,"SELECT amount, from_date, to_date FROM salary WHERE emp_no = 1005;",
What is the total salary expense of the HR department?,SELECT SUM(s.amount) FROM salary s JOIN dept_emp de ON s.emp_no = de.emp_no JOIN department d ON de.dept_no = d.dept_no WHERE d.dept_name = 'HR';,
Who got a salary increase in 2022?,SELECT DISTINCT emp_no FROM salary WHERE EXTRACT(YEAR FROM from_date) = 2022;,
How many employees earn between 50k and 70k?,SELECT COUNT(DISTINCT emp_no) FROM salary WHERE amount BETWEEN 50000 AND 70000;,
List all distinct job titles.,SELECT DISTINCT title FROM title;,
Who held the title 'Senior Engineer'?,"SELECT e.first_name, e.last_name FROM employee e JOIN title t ON e.emp_no = t.emp_no WHERE t.title = 'Senior Engineer';",
Which employee had the most titles?,SELECT emp_no FROM title GROUP BY emp_no ORDER BY COUNT(DISTINCT title) DESC LIMIT 1;,
Show the title history of employee 1020.,"SELECT title, from_date, to_date FROM title WHERE emp_no = 1020;",
Find titles that were held by more than 10 employees.,SELECT title FROM title GROUP BY title HAVING COUNT(DISTINCT emp_no) > 10;,
What was the most common title in 2015?,SELECT title FROM title WHERE from_date <= '2015-12-31' AND to_date >= '2015-01-01' GROUP BY title ORDER BY COUNT(*) DESC LIMIT 1;,
List all employees currently holding any title.,SELECT DISTINCT emp_no FROM title WHERE to_date >= CURRENT_DATE;,
Who held a title for more than 5 years?,SELECT emp_no FROM title WHERE to_date - from_date > INTERVAL '5 years';,
Which employees have changed departments?,SELECT emp_no FROM dept_emp GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) > 1;,
List employees who are also department managers.,"SELECT DISTINCT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no;",
Which department has the highest average salary in the last 2 years?,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN salary s ON de.emp_no = s.emp_no WHERE s.from_date >= CURRENT_DATE - INTERVAL '2 years' GROUP BY d.dept_name ORDER BY AVG(s.amount) DESC LIMIT 1;,
Which employee has worked in the most number of departments over time?,SELECT emp_no FROM dept_emp GROUP BY emp_no ORDER BY COUNT(DISTINCT dept_no) DESC LIMIT 1;,
Find the top 5 employees who have received the most salary increases (multiple salary entries).,SELECT emp_no FROM salary GROUP BY emp_no ORDER BY COUNT(*) DESC LIMIT 5;,
List departments where managers never had login access.,SELECT d.dept_name FROM department d JOIN dept_manager dm ON d.dept_no = dm.dept_no LEFT JOIN employee_login l ON dm.emp_no = l.emp_no WHERE l.emp_no IS NULL;,
Which employee titles lasted for more than 5 years?,"SELECT emp_no, title FROM title WHERE (to_date - from_date) > INTERVAL '5 years';",
List all employees who switched departments more than once in a year.,SELECT emp_no FROM dept_emp WHERE EXTRACT(YEAR FROM from_date) = EXTRACT(YEAR FROM to_date) GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) > 1;,
Find departments with the highest number of active employees today.,SELECT dept_no FROM dept_emp WHERE to_date >= CURRENT_DATE GROUP BY dept_no ORDER BY COUNT(*) DESC LIMIT 1;,
Which employees were both a department manager and an employee in the same department?,SELECT dm.emp_no FROM dept_manager dm JOIN dept_emp de ON dm.emp_no = de.emp_no AND dm.dept_no = de.dept_no;,
How many employees were hired and received salary on the same date?,SELECT COUNT(*) FROM employee e JOIN salary s ON e.emp_no = s.emp_no WHERE e.hire_date = s.from_date;,
List employees who held different job titles within the same year.,SELECT emp_no FROM title WHERE EXTRACT(YEAR FROM from_date) = EXTRACT(YEAR FROM to_date) GROUP BY emp_no HAVING COUNT(DISTINCT title) > 1;,
Which employees never changed their title over time?,SELECT emp_no FROM title GROUP BY emp_no HAVING COUNT(DISTINCT title) = 1;,
Find departments where all employees have at least two different titles.,SELECT dept_no FROM dept_emp de JOIN title t ON de.emp_no = t.emp_no GROUP BY dept_no HAVING MIN((SELECT COUNT(DISTINCT title) FROM title WHERE emp_no = de.emp_no)) >= 2;,
Which employee had the longest span of employment in a single department?,"SELECT emp_no, dept_no, MAX(to_date - from_date) as duration FROM dept_emp GROUP BY emp_no, dept_no ORDER BY duration DESC LIMIT 1;",
Find usernames of employees who logged in more than once in the same day.,SELECT username FROM employee_login WHERE DATE(last_login) = DATE(created_at);,
List employees who were hired before they were born (check data errors).,SELECT emp_no FROM employee WHERE hire_date < birth_date;,
List departments with no current managers.,SELECT d.dept_name FROM department d LEFT JOIN dept_manager dm ON d.dept_no = dm.dept_no WHERE dm.to_date < CURRENT_DATE OR dm.to_date IS NULL;,
Find the average number of departments each employee has worked in.,"SELECT AVG(dept_count) FROM (SELECT emp_no, COUNT(DISTINCT dept_no) AS dept_count FROM dept_emp GROUP BY emp_no) AS sub;",
List departments where at least one employee never got a salary.,SELECT DISTINCT de.dept_no FROM dept_emp de LEFT JOIN salary s ON de.emp_no = s.emp_no WHERE s.emp_no IS NULL;,
Which employee worked as a manager the longest?,SELECT emp_no FROM dept_manager ORDER BY (to_date - from_date) DESC LIMIT 1;,
List employees who were hired and promoted on the same day.,SELECT e.emp_no FROM employee e JOIN title t ON e.emp_no = t.emp_no WHERE e.hire_date = t.from_date;,
Which employees changed departments and titles on the same day?,SELECT de.emp_no FROM dept_emp de JOIN title t ON de.emp_no = t.emp_no WHERE de.from_date = t.from_date;,
Show employees who had access granted on a holiday (assume weekends).,"SELECT emp_no FROM manager_department_access WHERE EXTRACT(DOW FROM access_granted_date) IN (0, 6);",
List the number of managers per department for the last 3 years.,"SELECT dept_no, COUNT(DISTINCT emp_no) FROM dept_manager WHERE from_date >= CURRENT_DATE - INTERVAL '3 years' GROUP BY dept_no;",
Which employee has received salary in the most number of months?,"SELECT emp_no FROM salary GROUP BY emp_no ORDER BY COUNT(DISTINCT DATE_TRUNC('month', from_date)) DESC LIMIT 1;",
Which employee had the largest salary increase between two consecutive records?,"SELECT emp_no FROM (SELECT emp_no, amount - LAG(amount) OVER (PARTITION BY emp_no ORDER BY from_date) AS diff FROM salary) sub ORDER BY diff DESC LIMIT 1;",
How many employees got promoted more than twice?,SELECT emp_no FROM title GROUP BY emp_no HAVING COUNT(DISTINCT title) > 2;,
List the most recent department each employee worked in.,"SELECT emp_no, dept_no FROM (SELECT *, ROW_NUMBER() OVER (PARTITION BY emp_no ORDER BY to_date DESC) AS rn FROM dept_emp) t WHERE rn = 1;",
List departments with overlapping manager terms.,SELECT dm1.dept_no FROM dept_manager dm1 JOIN dept_manager dm2 ON dm1.dept_no = dm2.dept_no AND dm1.emp_no != dm2.emp_no AND dm1.from_date < dm2.to_date AND dm2.from_date < dm1.to_date;,
Find employees with at least one title and one salary overlapping in time.,SELECT t.emp_no FROM title t JOIN salary s ON t.emp_no = s.emp_no WHERE t.from_date < s.to_date AND s.from_date < t.to_date;,
Which employees accessed a department before officially joining it?,SELECT m.emp_no FROM manager_department_access m JOIN dept_emp d ON m.emp_no = d.emp_no AND m.dept_no = d.dept_no WHERE m.access_granted_date < d.from_date;,
Which employees held multiple titles on the same day?,"SELECT emp_no FROM title GROUP BY emp_no, from_date HAVING COUNT(title) > 1;",
"Show how many employees left the company (no active dept, no login, no salary).",SELECT COUNT(*) FROM employee e LEFT JOIN dept_emp de ON e.emp_no = de.emp_no AND de.to_date >= CURRENT_DATE LEFT JOIN salary s ON e.emp_no = s.emp_no AND s.to_date >= CURRENT_DATE LEFT JOIN employee_login l ON e.emp_no = l.emp_no WHERE de.emp_no IS NULL AND s.emp_no IS NULL AND l.emp_no IS NULL;,
Which departments had the same manager come back twice?,"SELECT dept_no FROM dept_manager GROUP BY dept_no, emp_no HAVING COUNT(*) > 1;",
List employees with current active title but no department.,SELECT t.emp_no FROM title t LEFT JOIN dept_emp de ON t.emp_no = de.emp_no AND de.to_date >= CURRENT_DATE WHERE t.to_date >= CURRENT_DATE AND de.emp_no IS NULL;,
